front, back
brushes,borstar
worried,orolig
lay,lägga
time to (do somethine),dags
eaten,ätit
thinking,tänker
be able to,kunna
holding,håller
next to,bredvid
dark,mörkt
the night,natten
throws,kastar
breakfast,frukost
proud,stolt
stay,stanna
while,stund
buy,köpa
excursion,utflykt
animal,djur
farm,bondgård
at the front,längst fram
meet,träffa
the farmer,bonden
kids,ungar
calves,kalvar
foal,föl
getting out,kliver ur
quiet,tyst
still,stilla
continues,fortsätter
growing,växer
chews,tuggar
all the time,hela tiden
chewing gum,tuggummi
ruminants,idisslar
wide,bred
leads to,leder till
in front,framför
more,fler
other,annan
next to,intill
cut off,klippt av
wool,ull
fur,päls
the year,året
uses,använder
yarn,garn
growing,växer
points,pekar
feet,fötter
hooves,hovar
worn out,slitna
therefore,därför
iron,järn
flat,platta
nails firmly,spikar fast
hurt,ont
nails,naglar
christmas sweater,jultröja
christmas ball,julkula
advent candlestick,adventsljusstake
lussecat,lussekatt
christmas eve,julafton
advent calendar,julkalender
gingerbread,pepparkakor
Merry christmas!,God jul!
lucia,lucia
santa claus,jultomte
only,bara
fun,skoj
collects,samlar
guy,kille
shouts,ropar
cheers,hejar
after a while efter,en stund
the players,spelarna
to rest,att vila
changes,byter
cheerful,glatt
kicked,sparkat
his own,sitt eget
on,på
cones,koner
easily happened,lätt hänt
both,båda
several,flera
right then,just då
field,plan
surprise,överraskning
exciting,spännande
secretly,hemligt
stands,ställer sig
lump,klump
each thing,varsin sak
amber,bärnsten
only,bara
just called that,bara heter så
remember,ihåg
bottom of the sea,havets botten
follow the waves,följa med vågorna
the sand,sanden
was it there,låg den där
inside,inuti
animal,djur
tick,fästing
at the front,längst fram
brown box,bruna låda
lifts off the lid,lyfter av locket
takes up,tar upp
gently,försiktigt
equal size,lika stor
a whisper passes through,går ett sus genom
tarantula,fågelspindel
crawling,kryper
slowly,sakta
toxic,giftig
anxious,oroligt
does she pick up,tar hon upp
finished watching,tittat färdigt
put back,lägg tillbaka
runs away,rymmer iväg
lower level of graduation,skolavslutning
has,har
lived with,bott hos
for a while,ett tag
to,för att
read out,läsa upp
poem,dikt
written,skrivit
although she can,fast hon kan
by heart,utantill
the stage,scenen
sports hall,idrottshall
yeast,jäst
out of memory,ut minnet
mountain,berg
piles of,högar med
principal,rektor
gives a speech,håller ett tal
each other,varandra
imagine that,tänk att
table setting,dukat
party,fest
the kitchen,köket
cake,tårta
light,ljus
the roof,taket
hanging,hänger
balloons,ballonger
a card,ett kort
money,pengar
good,god
takes about three times,tar om tre gånger
show,visa
crawling,kryper
the table,bordet
sitting on,sitter på
sholder,axel
stiff,stelt
snake,snok
opened,öppnat
luck,tur
explain,förklara
to cope,klara sig
other,andra
lizards,ödlor
heat lamp,värmelampa
one more piece,en bit till
the balcony,balkongen
slipped out,smitit ut
bed,säng
heard,hörs
sound,ljud
asks,frågar
only,bara
misses,saknar
closes his eyes,blundar
pick up,hämta
promise,lova
pillow fight,kuddkrig
cap,keps
be with,vara med
the cows,korna
is released,släpps ut
the pasture,hagen
the barn,ladugården
strange,konstigt
smells,luktar
spreads,sprider
the field,åkern
licks,slickar
the face,ansiktet
wet,blöt
rushing,rusar
jump,hoppa
leap,skutta
wait,vänta
some,några
answers,svarar
climbs,klättrar
claps/pets,klappar
stable,stall
pigs,grisar
beeches,bökar
roots,rötter
worms,maskar
rolls around,rullar runt
piglets,kultingar
sandwiches,mackor
pancakes,pannkakor
change,byta
a couple of hours,ett par timmar
most fun,roligast
fallen asleep,somnat
lights,ljus
snowman,snögubbe
snow,snö
ice,is
carols,julsånger
mulled wine,glögg
christmas tree,julgran
christmas gifts,julklappar
christmas rhyme,julrim
Santa's hat,tomteluva
well fought,bra kämpat
both of them,båda två
great fun,jätteroligt
then,sedan
thank you,tackar de
Equal/tie,lika
rest,vila
got,fick
as if,som om
did,gjorde
team game,lagspel
collaborates,samarbetar
wondering,undrar
resin,kåda
conifer,barrträd
pine,tall
fir,gran
sticky,klibbiga
become hard,blivit hård
blew,blåste
the sea,havet
the waves,vågorna
hit land,slog in mot land
months,månader
girl,tjej
plastic,plast
made of,gjord av
sure,säker
gasping for breath,drar efter andan
what if,tänk om
shivers,ryser
is it called,kallas det
baby birds,fågelungar
preform,uppträda
blowing notes/tones,blåser toner
queue,kö
top,översta
the kitchen,köket
company,sällskap
has time,hinner
meets,möter
the stairs,trappan
finished/finished,gått ut/klarat av
learned,lärt sig
perhaps,kanske
save,rädda
the rainforest,regnskogen
cuts down,hugger ner
plants and animals,växter och djur
nowhere,ingenstans
stay,bo
nod,nicka
congratulations,grattis
think that,tänk att
blowing out,blåser ut
to his/her,till sitt
put down,satte ner
the floor,golvet
looking,letar
curtain,gardin
the hall,hallen
starts looking,börjar leta
gives up,ger upp
anywhere,var som helst
find,hitta
